brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price
lenovo,IdeaPad Gaming 3,Core i7-10750H,,GTX 1650 Ti,16,256,1024,15.6,FHD,152000
lenovo,Flex 5,Ryzen 5 4500U,,Radeon,16,256,,14,FHD,110000
lenovo,Flex 14x 360,Core i7-10510U,,Intel UHD,8,512,,14,FHD,124990
lenovo,Flex 14 2021,Ryzen 5 5500U,,Radeon graphics,16,256,,14,FHD,118000
lenovo,Yoga C740,Core i5-10210U,,Intel UHD,8,256,,14,FHD Touch,105000
lenovo,Yoga C940,Core i7-1165G7,,Iris Plus,8,512,,13.3,FHD 360 Touch,169000
lenovo,Yoga 7i,Core i5-1135G7,,Iris Xe,8,256,,15.6,FHD 360 Touch,115000
lenovo,Yoga Duet 7i,Core i5-10210U,,Intel UHD,8,512,,13,WQHD Touch,145000
lenovo,Yoga 7i,Core i5-1135G7,,Iris Xe,8,256,,15.6,FHD Touch,115000
lenovo,Yoga 7 2021,Core i7-1165G7,,Iris Xe,12,512,,14,FHD Touch,135000
lenovo,Yoga Slim 7i Carbon i7,Core i7-1165G7,,Iris Xe,16,1024,,13.3,WQXGA,185000
lenovo,Yoga 9 2021,Core i7-1185G7,,Iris Xe,16,512,,14,Touch,198000
lenovo,ThinkPad E14,Core i5-10210U,,Intel UHD,8,,1024,14,FHD,108800
lenovo,ThinkPad E14,Core i7-10510U,,Intel UHD,8,256,,14,FHD,138800
lenovo,ThinkPad L13 Yoga,Core i5 10210U,,Intel UHD,8,256,,13.3,FHD 360 Touch,135000
lenovo,ThinkPad T14,Core i5-10210U,,Intel UHD,8,256,,14,FHD,144000
lenovo,ThinkPad T490,Core i5-10210U,,Intel UHD,8,256,,14,FHD,145000
lenovo,Thinkpad X13,Ryzen 5 Pro 4650U,,Radeon,16,256,,13.3,FHD,143000
lenovo,TinkPad X390,Core i5-10210U,,Intel UHD,8,256,,13,FHD,159000
lenovo,ThinkPad X1 Carbon 2020,Core i5-10210U,,Intel UHD,8,256,,13.3,FHD Touch,179000
lenovo,ThinkPad X1 Carbon 2020,Core i5-10210U,,Intel UHD,16,512,,13.3,FHD Touch,198000
lenovo,Legion 5,Ryzen 5 4600H,120,RTX 2060,8,512,,15.6,FHD,154800
lenovo,Legion 5,Ryzen 5 4600H,120,RTX 2060,16,512,,15.6,FHD,160800
lenovo,Legion 5,Ryzen 7 4800H,120,GTX 1650,8,256,,15.6,FHD,150000
lenovo,Legion 5,Ryzen 7 4800H,120,GTX 1660 Ti,16,512,,15.6,FHD,170800
lenovo,Legion 5,Ryzen 7 4800H,120,RTX 2060,16,512,,15.6,FHD,190800
lenovo,Legion 5i,Core i7-10750H,120,GTX 1650 Ti,8,512,,15.6,FHD,142800
lenovo,Legion 5i,Core i7-10750H,120,GTX 1660 Ti,8,512,1024,15.6,FHD,154800
lenovo,Legion 5i,Core i7-10750H,144,RTX 2060,16,256,,15.6,FHD,184800
lenovo,Legion 5i,Core i7-10750H,240,RTX 2060,16,512,,15.6,FHD,195000
lenovo,Legion 7i,Core i7-10750H,144,RTX 2070 Super Max-Q,16,1024,,15.6,FHD,238800
apple,MacBook Air,M1,,,8,256,,,,159500
apple,MacBook Air,M1,,,8,512,,,,203000
apple,MacBook Pro 13,M1,,,8,256,,,,205000
apple,MacBook Pro 13,M1,,,8,512,,,,240000
apple,MacBook Pro 13,M1,,,16,256,,,,240000
apple,MacBook Pro 13,M1,,,16,512,,,,275000
apple,MacBook Pro 13,Early 2020,,,16,512,,,,265000
apple,MacBook Pro 13,Early 2020,,,16,1024,,,,295000
apple,MacBook Pro 16,Core i7,,,,1024,,,,345000
apple,MacBook Pro 16,Core i9,,,,1024,,,,398000
msi,msi Stealth 15M,Core-i7-1185G7,,GTX 1660 Ti,16,512,,,,229000
msi,msi Stealth 15M,Core-i7-1185G7,,RTX 2060 Max Q,16,512,,,,239000
msi,msi GS66 Stealth 10SE Thin,Core-i7-10750H,,RTX 2060,16,512,,,,265000
msi,msi GS66 Stealth 10SD Thin,Core-i7-10750H,,GTX 1660 Ti,16,512,,,,255000
msi,msi GS66 Stealth 10SFS Thin,Core-i7-10750H,,RTX 2070,32,1024,,,,386000
msi,msi GE66 Raider 10SF,Core-i7-10750H,,RTX 2070,16,1024,,,,306000
msi,msi GE76 Raider 10UG,Core-i7-10870H,,RTX 3070,16,2048,,,,320000
msi,msi GE76 Raider 10UH,Core-i7-10870H,,RTX 3070,32,2048,,,,350000
msi,msi GP65 Leopard 10SDK,Core-i7-10750H,,GTX 1660 Ti,16,512,,,,205000
msi,msi GP66 Leopard 10UE,Core-i7-10870H,,RTX 3060,16,1024,,,,259000
msi,msi GP67 Leopard 10UE,Core-i7-10870H,,RTX 3060,16,1024,,,,259000
msi,msi GL75 Leopard 10SDR,i7-10750H,144,GTX 1660 Ti,16,512,,,,189000
msi,msi GL75 Leopard 10SFK,i7-10750H,144,RTX 2070,8,512,1024,,,250000
msi,msi GF63 Thin 10SCXR,i7-10750H,,GTX 1650,8,512,,,,137000
msi,msi GF65 Thin 10SDR,i5-10300H,120,GTX 1660 Ti,8,1024,,,,145000
msi,msi GF65 10SDR,i7-10750H,144,GTX 1660 Ti,8,1024,,,,175000
msi,msi GF65 10UE,i5-10300H,144,RTX 3060,16,512,,,,198000
msi,msi GF65 10UE,i7-10750H,144,RTX 3060,16,512,,,,220000
msi,msi Bravo 15  A4DDR,Ryzen 7 4800H,,Radeon RX,8,1024,,,,155000
msi,msi Creator 15 A10SF,i7-10875H,,RTX 2070,32,512,,,4k,360000
msi,msi Creator 15 A10SFS,i7-10875H,,RTX 2070,32,512,,,4k,418000
msi,msi Prestige 14 Evo,i5-1135G7,,Iris Xe,16,512,,,fhd,173000
msi,msi Prestige 14 Evo,i7-1185G7,,Iris Xe,16,512,,,fhd,193000
msi,msi Prestige 15 A11SC,i7-1185G7,,GTX 1650 Ti,16,512,,,fhd,241000
msi,msi Modern 15 A10M,i5-10210U,,Intel ,8,512,,15.6,uhd,110000
msi,msi Modern 14 B11SB,i5-1135G7,,MX450,8,512,,14,,135000
msi,msi Modern 14 B11SB,i7-1165G7,,MX450,8,512,,14,,147000
msi,msi Modern 15 A11SB,i5-1135G7,,MX450,8,512,,15.6,,137000
msi,msi Modern 15 A11SB,i7-1165G7,,MX450,8,512,,15.6,,148000
msi,msi Summit B15 A11M,i5-1135G7,,Iris Xe,8,512,,,fhd,138000
msi,msi Summit B15 A11M,i7-1165G7,,Iris Xe,8,512,,,fhd,168000
msi,msi Summit E15 A11SCS,i7-1185G7,,GTX 1650 Ti,16,1024,,,fhd,249000
msi,msi Summit E15 A11SCS,i7-1185G7,,GTX 1650 Ti,16,1024,,,4k,259000
microsoft,Microsoft Surface Pro X,,,,8,128,,,,160000
microsoft,Microsoft Surface Pro 7,Core i3,,,4,128,,,,117000
microsoft,Microsoft Surface Pro 7,Core i5,,,8,128,,,,142000
microsoft,Microsoft Surface Pro 7,Core i5,,,8,256,,,,188000
microsoft,Microsoft Surface Pro 7,Core i7,,,16,256,,,,228000
microsoft,Microsoft Surface Laptop 3,Core i5,,,8,128,,13.5,,159000
microsoft,Microsoft Surface Laptop 3,Ryzen 5 3580U,,Radeon Vega 9,8,128,,15,,187000
razer,Razer Blade Stealth,Core i7-1165G7,120,GTX 1650 Ti,16,512,,,fhd,289000
razer,Razer Blade 15,Core i7-10750H,144,RTX 2060,16,512,,,fhd,279000
razer,Razer Blade 15,Core i7-10750H,144,RTX 2070,16,512,,,fhd,310000
ripple,Pandora,i7-1165G7,,Iris Xe,8,256,,15.6,fhd,75000
ripple,Artifact,i5-10300H,,GTX 1650 Ti,8,256,,15.6,fhd,120000
ripple,Artifact Pro,Ryzen 7 4800H,,RTX 2060,8,256,,15.6,fhd,175000
ripple,Artifact Pro,Ryzen 7 4800H,,RTX 3060,16,256,,15.6,fhd,200000
ripple,Raze,i5-11400H,,RTX 3050,8,256,,15.6,fhd,150000
ripple,Raze Pro,i7-11800H,,RTX 3050,8,256,,15.6,fhd,200000
ripple,Genos,Ryzen 7 3700X,,RTX 2060,8,256,,15.6,fhd,185000
ripple,Genos Pro,Ryzen 9 3900X,,RTX 2070,8,256,,15.6,fhd,225000
hp,15CS3079 Pavilion , i5,  ,  ,8,256,  ,15.6, ,86000
asus ,TUF FX 506LI GAMING LAPTOP, I5-10300H,  ,GTX 1650 TI 4 ,8,256,  ,15.6,fhd ,115000
hp ,PAVILION POWER 15 GAMING, i5-10300H,  ,GTX1650 4 ,8,256,  ,15.6,fhd ips,112000
hp ,24-DF0309 ,Core i3-10th gen,  ,  ,12,256,  ,24,fhd,88000
hp ,15-GW0010 ,AMD Ryzen 3 3250U ,,  ,4,128,1024,15.6,  ,63500
lenovo , V14 ,Ryzen 5 4500U ,  ,AMD Radeon,8,  ,1024,14,fhd ,78500
hp ,Hp-14,10th Gen Intel Core i5, , ,8,256, ,14,fhd,84000
hp ,Hp-14,11th Gen Core i3 Laptop,  , ,8,256, ,14,hd touch,75000
hp ,Hp-14, AMD Ryzen ,,Radeon Vega 3,4,  ,1024,14,fhd,56000
hp ,Pavilion 14-CE3065 ,Intel Core i5 (1035G1)10th Gen ,  , ,8,256, ,14,fhd,85000
lenovo ,Legion 5 15IMH05H ,i7-10750H 6-Core,  ,NVIDIA GTX 1660 Ti,8,512,,,hd,155000
dell,Inspiron 5391 ,Intel 10th Gen Core i7-10510U, ,Nvidia MX 250,8,512, ,13.3,hd,116000
lenovo ,Yoga 7 15ITL5,Intel Core i5-1135G7 X4 ,,  ,8,256, ,15.6,touch,107000
hp ,Hp-15-DY1076 ,Core i5-1035G1 10th gen, , ,8,256, ,15.6,hd,80000
hp ,Hp-255,Ryzen 5,  ,  ,8, ,1024,15.6, ,74000
hp, 15-da2180nia ,10th Gen Intel Core i5-10210U,  ,  ,4,  ,1024,15.6, hd,76000
hp ,Hp- 14,Intel Core i5-1035G4, , ,8,256, ,14,fhd ips,84000
hp ,Hp-15  ,11th Gen Intel Core i5-1135G7 , , ,8,256,  ,15.6,hd ips,86000
hp ,Hp-14 ,Core i3 1005G1, , ,8,256, ,14,hd,65000
dell, Vostro 3591 ,10th Gen Core i7-10210G1, ,Nvidia MX230 2,8,512, ,15.6,fhd,115000
dell, Vostro 3401,10th gen i3-1005G1  , ,Integrated Graphics,4, ,1024,14,hd,57500
lenovo ,Ideapad Slim 3i,10th Gen Intel Core i3,  , ,8,256, ,15.6,fhd,63000
lenovo ,ThinkBook 14-IIL 20SL0016US,Core i5 i5-1035G7 ,  ,AMD Radeon TM 630 Graphic,8, ,1024,14,hd,95000
lenovo ,IdeaPad S540,10th Gen Intel Core i5, , ,8,256, ,13.3,wqhd ips,95000
lenovo, IdeaPad 130,Core i3 8th Gen , , ,4, ,1024,15.6, ,56000
apple ,MacBook Air ,i3 Processor,  , ,8,256, ,13,retina,138000
apple, MacBook Air ,i5 Processor,  , ,8,512, ,13,retina,195000
apple, MacBook Air,apple M1 Chip , , ,8,512, ,13, ,205000
dell,Inspiron 7490-7842SLV,Intel Core i7-10510U X4 ,, ,8,512,  ,14,fhd ,115000
acer ,Aspire 5,Intel Core i5-1035G1,  , ,8,512,  ,15.6,hd ips,85000
acer,Swift 3,Ryzen 5-4500U , , ,8,256, ,14, ,88000
acer,Swift 3 ,Ryzen 5-4500U Processor , , ,8,512, ,14,fhd,96000
acer ,Nitro 5 ,AMD Ryzen 5  , ,NVIDIA GeForce GTX 1650 ,8,256, ,15.6,fhd ,108000
acer ,Nitro 5,Intel Core i5 - 10th Gen ,  ,GTX 1650 Graphics,8,256, ,15.6,fhd ips,112000
hp ,Envy 13 ,Core i5 11th Generation  , , ,8,256,  ,13.3,fhd ,116000
lenovo ,Yoga7 ,i7-11th gen(1165G7), , ,12,512, ,14,fhd  touch,132000
lenovo ,Flex 5 ,AMD Ryzen 7 4700U (8-Core) Processor ,,  ,8,512,  ,14,fhd  touch,115000
lenovo ,Flex 5 ,AMD Ryzen 3 4300U Processor, , ,8,256, ,14,fhd touch,74000
