hp,Pavilion 15-EF1013,Ryzen 7 4700U,,AMD Vega 8,8,512,,15.6,fhd touch,112000
hp,Pavilion X360 2020,i5 11th Gen,,,8,512,,14,fhd,115000
hp,Envy 13 2021,i5 11th Gen,,,8,256,,13.3,fhd touch,120000
hp,Envy x360 13M,i7 11th Gen,,,8,512,,13.3,fhd touch,140000
hp,Spectre 13 x360,i5 10th Gen,,,8,256,,13.3,4k uhd touch,142000
hp,Envy 13 2020,i7 10th Gen,144,,8,512,,13.3,fhd,148000
hp,Omen 15 2020,Ryzen 7 4800H,144,GTX 1660Ti,8,512,,15.6,fhd,160000
hp,Omen 15 2020,Ryzen 7 4800H,,GTX 1660Ti,16,1024,,15.6,fhd touch,175000
hp,Spectre 13,i7 10TH GEN,,,8,512,,13.3,4k,185000
hp,Spectre 15 x360,i7 10TH GEN,,MX 250,16,512,,15.6,,225000
msi,Modern 14 A10RB,i5 10th Gen,,MX250,8,512,,15.6,,122000
msi,Modern 15 A10RAS,i5 10th Gen,144,MX330,8,512,,15.6,fhd,122000
msi,GF63 9SCSR,i5 9th Gen,,GTX 1650Ti,8,512,,15.6,,135000
msi,Modern 14 A10RB,i7 10th Gen,,MX250,8,512,,15.6,,135000
msi,Modern 15 A10RAS,i7 10th Gen,144,MX330,8,512,,15.6,fhd,135000
msi,GL65 9SCK,i5 9th Gen,,GTX 1650,8,512,,15.6,fhd,145000
msi,GF75 9SC,i7 9th Gen,,GTX 1650,8,128,1024,17.3,,148000
msi,GF63 Thin 10SCXR,i7 10th Gen,120,GTX 1650,8,512,,15.6,fhd,152000
msi,GL65 9SCK,i7 9th Gen,144,GTX 1650,8,512,,15.6,fhd,160000
msi,GF63 Thin 10SCSR,i7 10th Gen,,GTX 1650Ti,8,512,,15.6,,162000
msi,GE 63VR Raider,i7 8th Gen,120,GTX 1060,16,256,1024,15.6,fhd,165000
msi,GF65 10SDR,i5 10th Gen,120,GTX 1660Ti,8,512,,15.6,fhd,168000
msi,GF65 9SD,i7 9th Gen,,GTX 1660Ti,16,512,,15.6,fhd,170000
msi,Prestige 14 A10RAS Rose Pink,i7 10th Gen,144,MX330,16,512,,14,fhd,180000
msi,GF65 10SDR,i7 10th Gen,120,GTX 1660Ti,8,512,,15.6,fhd,183000
msi,GL65 9SDK,i7 9th Gen,120,GTX 1660Ti,16,256,1024,15.6,fhd,185000
msi,GF65 10SDR,i7 10th Gen,,GTX 1660Ti,16,512,,15.6,,185000
msi,Prestige 14 10SC,i7 10th Gen,144,GTX 1650,16,512,,14,fhd,188000
msi,GF65 10SER,I7 10th Gen,144,RTX 2060,16,512,,15.6,fhd,195000
msi,GL75 Leopard 10SDR,i7 10th Gen,144,GTX 1660Ti,16,512,,15.6,fhd,205000
msi,GP65 Leopard 10SDK,i7 10th Gen,120,GTX 1660Ti,16,512,,15.6,fhd,205000
msi,GL65 Leopard 10SDK,i7 10th Gen,144,GTX 1660Ti,16,256,1024,15.6,fhd,208000
msi,GL65 Leopard 10SDK,i7 10th Gen,144,GTX 1660Ti,16,256,1024,15.6,fhd,215000
msi,GL65 Leopard 10SEK,i7 10th Gen,144,RTX 2060,16,256,1024,15.6,fhd,227000
msi,GS65 Stealth Thin 9SD,i7 9th Gen,144,GTX 1660Ti,16,512,,15.6,fhd,230000
msi,PS65 Creator 9SD,i7 9th Gen,,GTX 1660Ti,32,1024,,15.6,4k,240000
msi,Prestige 15 A10SC,i7 10th Gen,144,GTX 1650,16,1024,,15.6,fhd,240000
msi,GP65 Leopard 10SFK,i7 10th Gen,240,RTX 2070,16,512,1024,15.6,fhd,255000
msi,GE65 Raider 9SE,i7 9th Gen,144,RTX 2060,16,1024,,15.6,fhd,260000
msi,PS65 Creator 9SE,i7 9th Gen,144,RTX 2060,32,1024,,15.6,fhd,260000
msi,GP65 Leopard 10SFK,i7 10th Gen,144,RTX 2070,32,,,,fhd,270000
msi,GP65 Leopard 10SFK,i7 10th Gen,144,RTX 2070,32,512,1024,15.6,fhd,280000
msi,GS65 Stealth,i7 9th Gen,144,GTX RTX 2070,16,1024,,17.3,fhd,280000
msi,GS66 Stealth 10SD Thin,i7 10th Gen,240,GTX 1660Ti,16,512,,15.6,fhd,295000
msi,GE66 Raider 10SF,i7 10th Gen,240,RTX 2070,16,1024,,15.6,fhd,306000
msi,GS65 Stealth Thin 9SF,i7 9th Gen,240,GTX 2070,16,1024,1024,15.6,fhd,310000
msi,GS65 Raider 9SF,i7 9th Gen,144,GTX 2070,16,1024,,15.6,fhd,310000
msi,GE75 Raider,i7 9th Gen,240,RTX 2080,32,512,,17.3,fhd,350000
msi,GE66 Raider 10SFS,i7 10th Gen,240,RTX 2070 SUPER,16,2048,,15.6,fhd,370000
msi,GE66 Raider 10SFS,i9 10th Gen,300,RTX 2070 SUPER,16,1024,,15.6,fhd,370000
msi,GS66 Stealth 10SFS Thin,i7 10th Gen,,RTX 2070,32,1024,,15.6,4k uhd,395000
msi,Creator 15 A10SFS,i7 10th Gen,,RTX 2070 SUPER MAX-Q,32,1024,,15.6,4k uhd,450000
