brandname,model,cpucore,clock,gpu,ram,ssd,rom,display,displayquality,price
MSI,MSI Creator 15 A10SFS,i7-10875H,,RTX 2070 SUPER,32GB,512GB,,,4K,418000
MSI,MSI Prestige 14 Evo,i5-1135G7,,Iris Xe,16GB,512GB,,,FHD,173000
MSI,MSI Prestige 14 Evo,i7-1185G7,,Iris Xe,16GB,512GB,,,FHD,193000
MSI,MSI Prestige 15 A11SC,i7-1185G7,,GTX 1650 Ti,16GB,512GB,,,FHD,241000
MSI,MSI Modern 15 A10M,i5-10210U,,Intel UHD,8GB,512GB,,15.6,,110000
MSI,MSI Modern 14 B11SB,i5-1135G7,,MX450,8GB,512GB,,14,,135000
MSI,MSI Modern 14 B11SB,i7-1165G7,,MX450,8GB,512GB,,14,,147000
MSI,MSI Modern 15 A11SB,i5-1135G7,,MX450,8GB,512GB,,15.6,,137000
MSI,MSI Modern 15 A11SB,i7-1165G7,,MX450,8GB,512GB,,15.6,,148000
MSI,MSI Summit B15 A11M,i5-1135G7,,Iris Xe,8GB,512GB,,,FHD,138000
MSI,MSI Summit B15 A11M,i7-1165G7,,Iris Xe,8GB,512GB,,,FHD,168000
MSI,MSI Summit E15 A11SCS,i7-1185G7,,GTX 1650 Ti Max-Q,16GB,1024GB,,,FHD,249000
MSI,MSI Summit E15 A11SCS,i7-1185G7,,GTX 1650 Ti Max-Q,16GB,1024GB,,,4K,259000
Microsoft,Microsoft Surface Pro X,,,,8GB,,128GB,,,"1,60,000"
Microsoft,Microsoft Surface Pro 7,Core i3,,,4GB,128GB,,,,"1,17,000"
Microsoft,Microsoft Surface Pro 7,Core i5,,,8GB,128GB,,,,"1,42,000"
Microsoft,Microsoft Surface Pro 7,Core i5,,,8GB,256GB,,,,"1,88,000"
Microsoft,Microsoft Surface Pro 7,Core i7,,,16GB,256GB,,,,"2,28,000"
Microsoft,Microsoft Surface Laptop 3,Core i5,,,8GB,128GB,,13.5,,"1,59,000"
Microsoft,Microsoft Surface Laptop 3,Ryzen 5 3580U,,Radeon Vega 9,8GB,128GB,,15,,"1,87,000"
Razer,Razer Blade Stealth,Core i7-1165G7,120Hz,GTX 1650 Ti Max-Q,16GB,512GB,,,FHD,289000
Razer,Razer Blade 15,Core i7-10750H,144Hz,RTX 2060,16GB,512GB,,,FHD,279000
Razer,Razer Blade 15,Core i7-10750H,144Hz,RTX 2070 Max-Q,16GB,512GB,,,FHD,310000
Ripple,Pandora,i7-1165G7,,Iris Xe,8GB,256GB,,15.6,FHD,75000
Ripple,Artifact,i5-10300H,,GTX 1650 Ti,8GB,256GB,,15.6,FHD,120000
Ripple,Artifact Pro,Ryzen 7 4800H,,RTX 2060 Max-P,8GB,256GB,,15.6,FHD,175000
Ripple,Artifact Pro,Ryzen 7 4800H,,RTX 3060 Max-P,16GB,256GB,,15.6,FHD,200000
Ripple,Raze,i5-11400H,,RTX 3050 Max-P,8GB,256GB,,15.6,FHD,150000
Ripple,Raze Pro,i7-11800H,,RTX 3050 Max-P,8GB,256GB,,15.6,FHD,200000
Ripple,Genos,Ryzen 7 3700X,,RTX 2060 Max-P,8GB,256GB,,15.6,FHD,185000
Ripple,Genos Pro,Ryzen 9 3900X,,RTX 2070 Max-P,8GB,256GB,,15.6,FHD,225000
