Brand_name,Model,CPU_core,Clock,GPU,RAM,SSD,HDD,Display_Size,Display_quality,Price
MSI ,Prestige 14 10SC, i7 10th Gen,, GTX 1650 ,16GB RAM ,512GB SSD ,,14,,188000
MSI ,GF65 10SER, I7 10th Gen,, RTX 2060, 16GB RAM ,512GB SSD,,15.6,144Hz display,195000
MSI ,GL75 Leopard 10SDR ,i7 10th Gen ,,GTX 1660Ti ,16GB RAM, 512GB SSD,,15.6, FHD 144Hz display,205000
MSI ,GP65 Leopard 10SDK ,i7 10th Gen ,,GTX 1660Ti, 16GB RAM, 512GB SSD ,,15.6, FHD 144Hz display,205000
MSI ,GL65 Leopard 10SDK ,i7 10th Gen ,,GTX 1660Ti ,16GB RAM ,256GB SSD , 1TB HDD ,15.6,FHD 120Hz display,208000
MSI ,GL65 Leopard 10SDK ,i7 10th Gen,, GTX 1660Ti, 16GB RAM ,256GB SSD ,1TB HDD,15.6,FHD 144Hz display,215000
MSI ,GL65 Leopard 10SEK ,i7 10th Gen,, RTX 2060, 16GB RAM ,256GB SSD ,1TB HDD ,15.6,FHD 144Hz display,227000
MSI ,GS65 Stealth Thin 9SD ,i7 9th Gen ,,GTX 1660Ti, 16GB RAM, 512GB SSD,,15.6, FHD 144Hz display,230000
MSI ,PS65 Creator 9SD, i7 9th Gen,, GTX 1660Ti ,32GB RAM ,1TB SSD ,,15.6,FHD 144Hz display,240000
MSI ,Prestige 15 A10SC, i7 10th Gen,, GTX 1650, 16GB RAM ,1TB SSD ,,15.6,4K display,240000
MSI ,GP65 Leopard 10SFK ,i7 10th Gen,, RTX 2070, 16GB RAM ,512GB SSD , 1TB HDD ,15.6,FHD 144Hz display,255000
MSI ,GE65 Raider 9SE, i7 9th Gen ,,RTX 2060 ,16GB RAM ,1TB SSD ,,15.6,240Hz display,260000
MSI ,PS65 Creator 9SE ,i7 9th Gen,, RTX 2060, 32GB RAM ,1TB SSD ,,15.6,FHD 144Hz display,260000
MSI ,GP65 Leopard 10SFK ,i7 10th Gen,, RTX 2070,32GB RAM,,,,144Hz display ,270000
MSI ,GP65 Leopard 10SFK ,i7 10th Gen ,,RTX 2070 ,32GB RAM ,512GB SSD , 1TB HDD ,15.6, FHD 144Hz display,280000
MSI ,GS65 Stealth, i7 9th Gen,, GTX RTX 2070 ,16GB RAM ,1TB SSD,,17.3,FHD 144Hz display,280000
MSI ,GS66 Stealth 10SD Thin ,i7 10th Gen ,,GTX 1660Ti ,16GB RAM ,512GB SSD ,,15.6, FHD 144Hz display,295000
MSI ,GE66 Raider 10SF, i7 10th Gen,, RTX 2070,16GB RAM, 1TB SSD,,15.6,FHD 240Hz display,306000
MSI ,GS65 Stealth Thin 9SF, i7 9th Gen ,,GTX 2070 ,16GB RAM ,1TB SSD ,1TB HDD ,15.6,FHD 240Hz display,310000
MSI ,GS65 Raider 9SF, i7 9th Gen ,,GTX 2070 ,16GB RAM ,1TB SSD ,,15.6, FHD 240Hz display,310000
MSI ,GE75 Raider ,i7 9th Gen ,,RTX 2080 ,32GB RAM ,512GB SSD ,,17.3,144Hz display,350000
MSI ,GE66 Raider 10SFS, i7 10th Gen ,,RTX 2070 SUPER  ,16GB RAM ,2TB SSD,,15.6,FHD 240Hz display,370000
MSI ,GE66 Raider 10SFS ,i9 10th Gen,, RTX 2070 SUPER ,16GB RAM ,1TB SSD,,15.6,FHD 240Hz display,370000
MSI ,GS66 Stealth 10SFS Thin ,i7 10th Gen ,,RTX 2070 ,32GB RAM ,1TB SSD ,,15.6,FHD 300Hz display,395000
MSI ,Creator 15 A10SFS ,i7 10th Gen,, RTX 2070 SUPER MAX-Q ,32GB RAM ,1TB SSD,,15.6, 4K UHD display,450000
